RecipeName,Ingredients,Instructions
Salmon Soup,"salmon, cheese",Combine salmon and cheese. Cook until done. Adjust seasoning to taste. Serve hot.
Chicken Stir-Fry,"chicken, lentils, cucumber","Combine chicken, lentils and cucumber. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Bake,"ginger, bread, eggs, coconut milk, soy sauce, garlic","Combine ginger, bread, eggs, coconut milk, soy sauce and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Bake,"tortillas, salt, breadcrumbs, rosemary","Combine tortillas, salt, breadcrumbs and rosemary. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Frittata,"tomato, cheese, chickpeas, tuna, tortilla, lime","Combine tomato, cheese, chickpeas, tuna, tortilla and lime. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Delight,"banana, bread",Combine banana and bread. Cook until done. Adjust seasoning to taste. Serve hot.
Fish Delight,"fish, yogurt, cream, sugar, onions, tuna","Combine fish, yogurt, cream, sugar, onions and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Casserole,"vegetables, shrimp, honey, water, lamb","Combine vegetables, shrimp, honey, water and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Skillet,"olive oil, lamb, pepper","Combine olive oil, lamb and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Chicken Pasta,"chicken, pasta",Combine chicken and pasta. Cook until done. Adjust seasoning to taste. Serve hot.
Peppers Stir-Fry,"peppers, cream, lime, tortilla, celery","Combine peppers, cream, lime, tortilla and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Tart,"mayonnaise, olive oil, caesar dressing, mozzarella","Combine mayonnaise, olive oil, caesar dressing and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Bun Casserole,"bun, lemons, dill, peppers, cabbage, flour","Combine bun, lemons, dill, peppers, cabbage and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Celery Soup,"celery, broth, beans","Combine celery, broth and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Frittata,"tortillas, onions, eggplant, chicken, lentils","Combine tortillas, onions, eggplant, chicken and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Cocoa Powder Casserole,"cocoa powder, chicken, rice, saffron","Combine cocoa powder, chicken, rice and saffron. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Tart,"lemon, rice, balsamic, breadcrumbs, mustard","Combine lemon, rice, balsamic, breadcrumbs and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Delight,"dill, croutons, tomato, milk, beans","Combine dill, croutons, tomato, milk and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Rice Soup,"rice, tomatoes, yogurt, pie crust","Combine rice, tomatoes, yogurt and pie crust. Cook until done. Adjust seasoning to taste. Serve hot."
Avocado Pasta,"avocado, bun, parsley, carrots, fish, mixed vegetables","Combine avocado, bun, parsley, carrots, fish and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Tart,"basil, olive oil, beans, strawberries","Combine basil, olive oil, beans and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Mixed Vegetables Skillet,"mixed vegetables, soy sauce, ginger","Combine mixed vegetables, soy sauce and ginger. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Frittata,"rosemary, peas, soy sauce, garlic, tuna","Combine rosemary, peas, soy sauce, garlic and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Pasta,"caesar dressing, broth",Combine caesar dressing and broth. Cook until done. Adjust seasoning to taste. Serve hot.
Lime Salad,"lime, spinach, mixed vegetables, celery","Combine lime, spinach, mixed vegetables and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Saffron Bake,"saffron, olive oil, rosemary, basil, vinegar, bananas","Combine saffron, olive oil, rosemary, basil, vinegar and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Frittata,"pie crust, salmon, pepper, cheese","Combine pie crust, salmon, pepper and cheese. Cook until done. Adjust seasoning to taste. Serve hot."
Carrots Frittata,"carrots, lentils, tortillas, lemons, chicken, mustard","Combine carrots, lentils, tortillas, lemons, chicken and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Sauce Tart,"tomato sauce, lime, rosemary, saffron","Combine tomato sauce, lime, rosemary and saffron. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Stir-Fry,"strawberries, lamb, pie crust, balsamic, mozzarella","Combine strawberries, lamb, pie crust, balsamic and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Soup,"onions, tomato",Combine onions and tomato. Cook until done. Adjust seasoning to taste. Serve hot.
Tomatoes Soup,"tomatoes, pie crust",Combine tomatoes and pie crust. Cook until done. Adjust seasoning to taste. Serve hot.
Sugar Tart,"sugar, curry powder, beans, tomato, potatoes, chickpeas","Combine sugar, curry powder, beans, tomato, potatoes and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Salad,"mushrooms, celery, eggplant, bananas, sugar, butter","Combine mushrooms, celery, eggplant, bananas, sugar and butter. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Pasta,"pasta, lemons",Combine pasta and lemons. Cook until done. Adjust seasoning to taste. Serve hot.
Onion Frittata,"onion, cream, rosemary","Combine onion, cream and rosemary. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Stir-Fry,"beef, carrots, salmon, cream, spinach","Combine beef, carrots, salmon, cream and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Salsa Tart,"salsa, mushrooms, lemons, chocolate, pepper","Combine salsa, mushrooms, lemons, chocolate and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Frittata,"shrimp, milk, water, fish","Combine shrimp, milk, water and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Cocoa Powder Salad,"cocoa powder, eggplant, garlic, spinach, lamb","Combine cocoa powder, eggplant, garlic, spinach and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Casserole,"ginger, cream, pumpkin, lemons","Combine ginger, cream, pumpkin and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Spinach Frittata,"spinach, garlic, ginger, cabbage","Combine spinach, garlic, ginger and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Soup,"mushrooms, mustard, mayonnaise, celery, honey, basil","Combine mushrooms, mustard, mayonnaise, celery, honey and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Soup,"mayonnaise, pasta",Combine mayonnaise and pasta. Cook until done. Adjust seasoning to taste. Serve hot.
Croutons Soup,"croutons, coconut milk, salt, flour, spinach","Combine croutons, coconut milk, salt, flour and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Bun Salad,"bun, tortillas, tomato sauce","Combine bun, tortillas and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Salad,"beans, salsa, cucumber","Combine beans, salsa and cucumber. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Stir-Fry,"broth, onion",Combine broth and onion. Cook until done. Adjust seasoning to taste. Serve hot.
Broth Pasta,"broth, carrots, apples, soy sauce, chicken","Combine broth, carrots, apples, soy sauce and chicken. Cook until done. Adjust seasoning to taste. Serve hot."
Potatoes Soup,"potatoes, yogurt, coconut milk, ginger, lentils","Combine potatoes, yogurt, coconut milk, ginger and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Frittata,"breadcrumbs, yogurt",Combine breadcrumbs and yogurt. Cook until done. Adjust seasoning to taste. Serve hot.
Salt Pasta,"salt, bananas, chocolate","Combine salt, bananas and chocolate. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Bake,"bananas, mustard, rice","Combine bananas, mustard and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Frittata,"bananas, avocado, lamb, strawberries","Combine bananas, avocado, lamb and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Casserole,"lettuce, ginger",Combine lettuce and ginger. Cook until done. Adjust seasoning to taste. Serve hot.
Salsa Salad,"salsa, rice, carrots, rosemary, peppers, flour","Combine salsa, rice, carrots, rosemary, peppers and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Casserole,"lettuce, chicken",Combine lettuce and chicken. Cook until done. Adjust seasoning to taste. Serve hot.
Cinnamon Frittata,"cinnamon, avocado, lime, honey","Combine cinnamon, avocado, lime and honey. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Pasta,"chocolate, tortillas, vinegar","Combine chocolate, tortillas and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Saffron Bake,"saffron, lentils, breadcrumbs, olive oil, broth","Combine saffron, lentils, breadcrumbs, olive oil and broth. Cook until done. Adjust seasoning to taste. Serve hot."
Potatoes Delight,"potatoes, lentils, eggplant","Combine potatoes, lentils and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Mussels Stir-Fry,"mussels, dill, peas, flour","Combine mussels, dill, peas and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Stir-Fry,"tomato, sugar, avocado, fish","Combine tomato, sugar, avocado and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Soup,"beef, cabbage, peppers","Combine beef, cabbage and peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Skillet,"olive oil, rosemary, lemon","Combine olive oil, rosemary and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Casserole,"mozzarella, tortillas, cucumber, carrots","Combine mozzarella, tortillas, cucumber and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Pasta,"pepper, tortilla, mozzarella","Combine pepper, tortilla and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Tart,"pie crust, salt, croutons, eggplant, tomatoes, bread","Combine pie crust, salt, croutons, eggplant, tomatoes and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Salsa Delight,"salsa, mixed vegetables, blueberries, strawberries, butter","Combine salsa, mixed vegetables, blueberries, strawberries and butter. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Stir-Fry,"rosemary, coconut milk, sugar, salt, cheese, chickpeas","Combine rosemary, coconut milk, sugar, salt, cheese and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Tart,"pasta, butter, cream, tomato, pumpkin, breadcrumbs","Combine pasta, butter, cream, tomato, pumpkin and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Casserole,"beef, pepper, caesar dressing, saffron, onions","Combine beef, pepper, caesar dressing, saffron and onions. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Soup,"beef, spinach, peppers, lemon, balsamic, mustard","Combine beef, spinach, peppers, lemon, balsamic and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Croutons Skillet,"croutons, tomato",Combine croutons and tomato. Cook until done. Adjust seasoning to taste. Serve hot.
Parmesan Skillet,"parmesan, mayonnaise",Combine parmesan and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot.
Beef Bake,"beef, bell peppers, pie crust, bananas, ginger, onion","Combine beef, bell peppers, pie crust, bananas, ginger and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Water Pasta,"water, onions, mozzarella","Combine water, onions and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Stir-Fry,"mushrooms, bread, zucchini, shrimp, carrots","Combine mushrooms, bread, zucchini, shrimp and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Pasta,"chocolate, salt",Combine chocolate and salt. Cook until done. Adjust seasoning to taste. Serve hot.
Caesar Dressing Tart,"caesar dressing, cucumber, apples, balsamic, lamb, peppers","Combine caesar dressing, cucumber, apples, balsamic, lamb and peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Salt Stir-Fry,"salt, mushrooms, curry powder, eggplant, pepper","Combine salt, mushrooms, curry powder, eggplant and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Garlic Delight,"garlic, cocoa powder, butter","Combine garlic, cocoa powder and butter. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Skillet,"tortillas, balsamic, dill, cream, bell peppers","Combine tortillas, balsamic, dill, cream and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Pasta,"bananas, peas, tomatoes, beans, eggplant, basil","Combine bananas, peas, tomatoes, beans, eggplant and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Tart,"curry powder, shrimp, croutons, beef, carrots","Combine curry powder, shrimp, croutons, beef and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Stir-Fry,"curry powder, sugar, lemons, tomatoes","Combine curry powder, sugar, lemons and tomatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Tart,"lamb, celery, zucchini","Combine lamb, celery and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Onion Delight,"onion, lamb, garlic","Combine onion, lamb and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Sauce Delight,"tomato sauce, chocolate, vegetables, parmesan, spinach, rice","Combine tomato sauce, chocolate, vegetables, parmesan, spinach and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Water Pasta,"water, mushrooms, salsa, lemons","Combine water, mushrooms, salsa and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Cheese Casserole,"cheese, lamb, mushrooms, cinnamon, salt","Combine cheese, lamb, mushrooms, cinnamon and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Casserole,"cucumber, lamb, celery","Combine cucumber, lamb and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Spinach Pasta,"spinach, onion",Combine spinach and onion. Cook until done. Adjust seasoning to taste. Serve hot.
Salsa Stir-Fry,"salsa, carrots, mussels, eggplant, eggs, cream","Combine salsa, carrots, mussels, eggplant, eggs and cream. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Skillet,"peas, mozzarella",Combine peas and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot.
Cocoa Powder Delight,"cocoa powder, beans, flour, mushrooms, tortilla, vegetables","Combine cocoa powder, beans, flour, mushrooms, tortilla and vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Cocoa Powder Tart,"cocoa powder, tomato sauce",Combine cocoa powder and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot.
Potatoes Soup,"potatoes, cream, lettuce","Combine potatoes, cream and lettuce. Cook until done. Adjust seasoning to taste. Serve hot."
Croutons Skillet,"croutons, cocoa powder",Combine croutons and cocoa powder. Cook until done. Adjust seasoning to taste. Serve hot.
Eggplant Tart,"eggplant, tortilla, cream, mustard, dill","Combine eggplant, tortilla, cream, mustard and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Stir-Fry,"ginger, mushrooms, peppers, salt","Combine ginger, mushrooms, peppers and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Casserole,"fish, mixed vegetables, saffron, rice","Combine fish, mixed vegetables, saffron and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Salad,"pie crust, lemons",Combine pie crust and lemons. Cook until done. Adjust seasoning to taste. Serve hot.
Lemons Salad,"lemons, onion, basil, strawberries","Combine lemons, onion, basil and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Balsamic Frittata,"balsamic, fish, soy sauce","Combine balsamic, fish and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Pasta,"onions, honey, cheese, coconut milk, lettuce, curry powder","Combine onions, honey, cheese, coconut milk, lettuce and curry powder. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Casserole,"eggplant, rice, soy sauce, lime, eggs, pumpkin","Combine eggplant, rice, soy sauce, lime, eggs and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Bake,"chickpeas, milk, carrots, shrimp, pumpkin","Combine chickpeas, milk, carrots, shrimp and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Water Delight,"water, beef, salsa, bananas, blueberries, beans","Combine water, beef, salsa, bananas, blueberries and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Carrots Delight,"carrots, vegetables, curry powder, bell peppers, cheese","Combine carrots, vegetables, curry powder, bell peppers and cheese. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Delight,"rosemary, pepper, mozzarella","Combine rosemary, pepper and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Tart,"vinegar, tortillas, potatoes, pumpkin, balsamic, apples","Combine vinegar, tortillas, potatoes, pumpkin, balsamic and apples. Cook until done. Adjust seasoning to taste. Serve hot."
Onion Soup,"onion, avocado, balsamic, salsa, garlic, salt","Combine onion, avocado, balsamic, salsa, garlic and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Bake,"rosemary, parsley",Combine rosemary and parsley. Cook until done. Adjust seasoning to taste. Serve hot.
Broth Bake,"broth, salsa",Combine broth and salsa. Cook until done. Adjust seasoning to taste. Serve hot.
Cocoa Powder Soup,"cocoa powder, tuna, salsa","Combine cocoa powder, tuna and salsa. Cook until done. Adjust seasoning to taste. Serve hot."
Flour Pasta,"flour, mustard, bread, mozzarella","Combine flour, mustard, bread and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Delight,"strawberries, eggplant, cucumber, lamb, bread","Combine strawberries, eggplant, cucumber, lamb and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Pasta,"olive oil, mushrooms",Combine olive oil and mushrooms. Cook until done. Adjust seasoning to taste. Serve hot.
Pie Crust Casserole,"pie crust, beef, vinegar, avocado, chickpeas, bread","Combine pie crust, beef, vinegar, avocado, chickpeas and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Water Delight,"water, lettuce, strawberries, broth, salsa","Combine water, lettuce, strawberries, broth and salsa. Cook until done. Adjust seasoning to taste. Serve hot."
Croutons Soup,"croutons, strawberries, pie crust","Combine croutons, strawberries and pie crust. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Tart,"blueberries, garlic",Combine blueberries and garlic. Cook until done. Adjust seasoning to taste. Serve hot.
Zucchini Frittata,"zucchini, bananas, chocolate, lemons, balsamic, cream","Combine zucchini, bananas, chocolate, lemons, balsamic and cream. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Bake,"mustard, blueberries, lamb","Combine mustard, blueberries and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Bake,"dill, strawberries, mussels, shrimp, lettuce, water","Combine dill, strawberries, mussels, shrimp, lettuce and water. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Delight,"rosemary, mayonnaise",Combine rosemary and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot.
Parsley Skillet,"parsley, curry powder",Combine parsley and curry powder. Cook until done. Adjust seasoning to taste. Serve hot.
Tortilla Stir-Fry,"tortilla, tortillas, tomatoes, mustard","Combine tortilla, tortillas, tomatoes and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Casserole,"vinegar, flour",Combine vinegar and flour. Cook until done. Adjust seasoning to taste. Serve hot.
Curry Powder Bake,"curry powder, milk, soy sauce, mushrooms, parsley","Combine curry powder, milk, soy sauce, mushrooms and parsley. Cook until done. Adjust seasoning to taste. Serve hot."
Zucchini Skillet,"zucchini, mushrooms, bread, tuna, honey, eggplant","Combine zucchini, mushrooms, bread, tuna, honey and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Flour Pasta,"flour, cheese",Combine flour and cheese. Cook until done. Adjust seasoning to taste. Serve hot.
Mussels Skillet,"mussels, lemons, mixed vegetables","Combine mussels, lemons and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Casserole,"apples, lemon",Combine apples and lemon. Cook until done. Adjust seasoning to taste. Serve hot.
Flour Bake,"flour, bun, caesar dressing, breadcrumbs","Combine flour, bun, caesar dressing and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Delight,"peas, spinach, saffron, onion, bun","Combine peas, spinach, saffron, onion and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Milk Skillet,"milk, soy sauce",Combine milk and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot.
Tomatoes Pasta,"tomatoes, lentils, mussels, avocado, honey, onion","Combine tomatoes, lentils, mussels, avocado, honey and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Spinach Frittata,"spinach, eggplant",Combine spinach and eggplant. Cook until done. Adjust seasoning to taste. Serve hot.
Chickpeas Soup,"chickpeas, mushrooms, zucchini, carrots, flour, lamb","Combine chickpeas, mushrooms, zucchini, carrots, flour and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Celery Pasta,"celery, bell peppers, chickpeas, parsley, garlic","Combine celery, bell peppers, chickpeas, parsley and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Potatoes Salad,"potatoes, blueberries, mixed vegetables, eggs","Combine potatoes, blueberries, mixed vegetables and eggs. Cook until done. Adjust seasoning to taste. Serve hot."
Tomatoes Bake,"tomatoes, tortillas, coconut milk, pepper, bun","Combine tomatoes, tortillas, coconut milk, pepper and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Pasta,"apples, mustard, lettuce, tuna","Combine apples, mustard, lettuce and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Frittata,"pasta, lettuce, parsley, yogurt","Combine pasta, lettuce, parsley and yogurt. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Salad,"lamb, lentils, tortilla","Combine lamb, lentils and tortilla. Cook until done. Adjust seasoning to taste. Serve hot."
Lemons Casserole,"lemons, chocolate, mustard, honey, vinegar","Combine lemons, chocolate, mustard, honey and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Skillet,"eggplant, lentils, mushrooms, garlic, mustard, mixed vegetables","Combine eggplant, lentils, mushrooms, garlic, mustard and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Coconut Milk Casserole,"coconut milk, tomato sauce, shrimp, cinnamon, soy sauce, banana","Combine coconut milk, tomato sauce, shrimp, cinnamon, soy sauce and banana. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Pasta,"pasta, honey, bell peppers","Combine pasta, honey and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Carrots Bake,"carrots, vinegar, lamb, dill, eggs","Combine carrots, vinegar, lamb, dill and eggs. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Frittata,"mushrooms, blueberries, peas, tomatoes, potatoes","Combine mushrooms, blueberries, peas, tomatoes and potatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Salt Stir-Fry,"salt, rosemary, onions, shrimp, bananas","Combine salt, rosemary, onions, shrimp and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Tomatoes Bake,"tomatoes, vinegar, bread, bun, eggplant, milk","Combine tomatoes, vinegar, bread, bun, eggplant and milk. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Skillet,"basil, strawberries, water, olive oil, lettuce, parsley","Combine basil, strawberries, water, olive oil, lettuce and parsley. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Salad,"broth, fish",Combine broth and fish. Cook until done. Adjust seasoning to taste. Serve hot.
Salmon Stir-Fry,"salmon, spinach, tomato, sugar, cucumber, peas","Combine salmon, spinach, tomato, sugar, cucumber and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Delight,"peppers, tomato sauce, rosemary, cheese, mayonnaise","Combine peppers, tomato sauce, rosemary, cheese and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Bun Bake,"bun, honey, onions, bread, butter","Combine bun, honey, onions, bread and butter. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Tart,"lemon, lime, pepper, cream","Combine lemon, lime, pepper and cream. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Stir-Fry,"mayonnaise, pie crust, broth, pasta, peas","Combine mayonnaise, pie crust, broth, pasta and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Skillet,"lamb, basil",Combine lamb and basil. Cook until done. Adjust seasoning to taste. Serve hot.
Lime Skillet,"lime, water",Combine lime and water. Cook until done. Adjust seasoning to taste. Serve hot.
Eggplant Tart,"eggplant, salmon, chocolate","Combine eggplant, salmon and chocolate. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Casserole,"lettuce, spinach, parmesan","Combine lettuce, spinach and parmesan. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Bake,"olive oil, vegetables, cinnamon","Combine olive oil, vegetables and cinnamon. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Frittata,"mustard, banana, tortillas, coconut milk, peas","Combine mustard, banana, tortillas, coconut milk and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Mussels Skillet,"mussels, apples, croutons, cream, garlic","Combine mussels, apples, croutons, cream and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Bun Casserole,"bun, salt, cinnamon, mixed vegetables, lentils, coconut milk","Combine bun, salt, cinnamon, mixed vegetables, lentils and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Tart,"fish, pumpkin",Combine fish and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot.
Tomatoes Frittata,"tomatoes, mussels, tortillas, mustard","Combine tomatoes, mussels, tortillas and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Casserole,"mayonnaise, milk",Combine mayonnaise and milk. Cook until done. Adjust seasoning to taste. Serve hot.
Chocolate Stir-Fry,"chocolate, lamb, tortillas, tomato sauce, bread, carrots","Combine chocolate, lamb, tortillas, tomato sauce, bread and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Skillet,"dill, lemon",Combine dill and lemon. Cook until done. Adjust seasoning to taste. Serve hot.
Mozzarella Pasta,"mozzarella, celery, saffron","Combine mozzarella, celery and saffron. Cook until done. Adjust seasoning to taste. Serve hot."
Tomatoes Bake,"tomatoes, carrots, sugar, mussels, parmesan","Combine tomatoes, carrots, sugar, mussels and parmesan. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Bake,"vinegar, salt, water, chocolate, spinach","Combine vinegar, salt, water, chocolate and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Frittata,"ginger, carrots, cinnamon, lemons, peas","Combine ginger, carrots, cinnamon, lemons and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Milk Casserole,"milk, avocado",Combine milk and avocado. Cook until done. Adjust seasoning to taste. Serve hot.
Cocoa Powder Tart,"cocoa powder, mussels, spinach","Combine cocoa powder, mussels and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Onion Skillet,"onion, pumpkin, onions, pasta, chickpeas","Combine onion, pumpkin, onions, pasta and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Tart,"banana, cucumber, honey, bananas, garlic, yogurt","Combine banana, cucumber, honey, bananas, garlic and yogurt. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Tart,"chickpeas, pepper, strawberries, rice","Combine chickpeas, pepper, strawberries and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Butter Tart,"butter, sugar, zucchini, flour, shrimp, mixed vegetables","Combine butter, sugar, zucchini, flour, shrimp and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Salad,"pasta, shrimp",Combine pasta and shrimp. Cook until done. Adjust seasoning to taste. Serve hot.
Bun Casserole,"bun, yogurt, eggplant, lamb, bananas","Combine bun, yogurt, eggplant, lamb and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Salad,"mayonnaise, breadcrumbs, pasta, cabbage","Combine mayonnaise, breadcrumbs, pasta and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
